COUNTRY,CITY,ZONE,NW_AGO,ORDERS
MX,Tuxtla Gutierrez,TUX Teran,8,931.0
EC,Quito,La Morita II,8,927.0
EC,Guayaquil,Ceibos,8,920.0
BR,Fortaleza,ce_for_e_queiroz/cambeba/cid_dos_fun,8,919.0
CO,Cali,Cali sur,8,908.0
CO,Chia,Cota,8,903.0
BR,Natal,RN - NAT - Zona Sul,8,900.0
MX,Leon,LEO_Las Joyas-Plan,8,897.0
MX,Tehuacan,Tehuacán,8,894.0
CL,Santiago De Chile,Cerrillos,8,885.0
MX,Zamora,ZMA Jacona,8,884.0
MX,Cozumel,CZM Cozumel,8,883.0
MX,Morelia,MOR_Puerto_Buenavista_Aldea,8,875.0
AR,Buenos Aires,PACHECO,8,869.0
MX,Ensenada,ENS_Ensenada_1,8,848.0
BR,Santos,SP - SSZ - Santos / São Vicente,8,844.0
CL,Antofagasta,Antofagasta Centro,8,841.0
CL,Concepcion,Conce Centro,8,840.0
MX,Villahermosa,VSA_Sendero,8,836.0
BR,Natal,RN - NAT - Zona Leste/Zona Oeste,8,835.0
CO,Cartago,Cartago,8,814.0
BR,Grande São Paulo,SP - SP - Mandaqui,8,811.0
PE,Lima,Rosa Luz,8,806.0
EC,Quito,Monteserrin,8,802.0
BR,Curitiba,PR - CWB - Centro Civico/Merces,8,798.0
CO,Bucaramanga,Giron,8,796.0
BR,Grande São Paulo,SP - SP - Jaguará/Pirituba,8,795.0
PE,Arequipa,Cerro Verde Suroeste,8,790.0
CO,Bogota,Arrayanes,8,782.0
PE,Ica,Puente_Blanco,8,775.0
PE,Trujillo,La Esperanza,8,756.0
BR,Rio De Janeiro,Maracana,8,747.0
CL,La Serena,La_Serena,8,746.0
PE,Huancayo,Lamblaspata,8,733.0
UY,Montevideo,Nuevocentro,8,731.0
